,f1-score,precision,recall,support
Atelectasis,0.07407407407407407,0.5,0.04,25.0
Cardiomegaly,0.39344262295081966,0.2926829268292683,0.6,20.0
Consolidation,0.18181818181818182,0.3333333333333333,0.125,8.0
Edema,0.0,0.0,0.0,5.0
Enlarged Cardiomediastinum,0.0,0.0,0.0,1.0
Fracture,0.0,0.0,0.0,2.0
Lung Lesion,0.0,0.0,0.0,0.0
Lung Opacity,0.48101265822784806,0.4222222222222222,0.5588235294117647,34.0
No Finding,0.2631578947368421,0.5,0.17857142857142858,28.0
Pleural Effusion,0.10526315789473684,0.2222222222222222,0.06896551724137931,29.0
Pleural Other,0.0,0.0,0.0,1.0
Pneumonia,0.0,0.0,0.0,2.0
Pneumothorax,0.0,0.0,0.0,0.0
Support Devices,0.3396226415094339,0.42857142857142855,0.28125,32.0
micro avg,0.28739002932551316,0.3181818181818182,0.2620320855614973,187.0
macro avg,0.13131365937228118,0.19278800951274816,0.13232931965889802,187.0
samples avg,0.2137792207792208,0.23616666666666666,0.24135714285714285,187.0
