,f1-score,precision,recall,support
Atelectasis,0.07407407407407407,0.5,0.04,25.0
Cardiomegaly,0.3636363636363637,0.46153846153846156,0.3,20.0
Consolidation,0.0,0.0,0.0,8.0
Edema,0.0,0.0,0.0,5.0
Enlarged Cardiomediastinum,0.0,0.0,0.0,1.0
Fracture,0.0,0.0,0.0,2.0
Lung Lesion,0.0,0.0,0.0,0.0
Lung Opacity,0.3157894736842105,0.391304347826087,0.2647058823529412,34.0
No Finding,0.5647058823529412,0.42105263157894735,0.8571428571428571,28.0
Pleural Effusion,0.4186046511627907,0.6428571428571429,0.3103448275862069,29.0
Pleural Other,0.0,0.0,0.0,1.0
Pneumonia,0.0,0.0,0.0,2.0
Pneumothorax,0.0,0.0,0.0,0.0
Support Devices,0.6037735849056604,0.7619047619047619,0.5,32.0
micro avg,0.39634146341463417,0.46099290780141844,0.34759358288770054,187.0
macro avg,0.16718457355828859,0.22704695326467147,0.16229954050585751,187.0
samples avg,0.3866370851370851,0.41583333333333333,0.3926190476190476,187.0
