,f1-score,precision,recall,support
Atelectasis,0.2352941176470588,0.5454545454545454,0.15,40.0
Cardiomegaly,0.4102564102564102,0.5333333333333333,0.3333333333333333,24.0
Consolidation,0.16000000000000003,0.4,0.1,20.0
Edema,0.18181818181818182,0.2857142857142857,0.13333333333333333,15.0
Enlarged Cardiomediastinum,0.0,0.0,0.0,1.0
Fracture,0.0,0.0,0.0,2.0
Lung Lesion,0.0,0.0,0.0,1.0
Lung Opacity,0.3157894736842105,0.391304347826087,0.2647058823529412,34.0
No Finding,0.5647058823529412,0.42105263157894735,0.8571428571428571,28.0
Pleural Effusion,0.4482758620689655,0.7647058823529411,0.3170731707317073,41.0
Pleural Other,0.0,0.0,0.0,4.0
Pneumonia,0.28571428571428575,0.3333333333333333,0.25,4.0
Pneumothorax,0.0,0.0,0.0,0.0
Support Devices,0.6037735849056604,0.7619047619047619,0.5,32.0
micro avg,0.3922518159806295,0.48502994011976047,0.32926829268292684,246.0
macro avg,0.22897341417483671,0.31691450867844534,0.20754204120672662,246.0
samples avg,0.38652380952380944,0.42566666666666664,0.3830833333333333,246.0
